Company name,ASX code,GICS industry group
"GWR GROUP LIMITED",GWR,"Materials"
"HAMMER METALS LIMITED",HMX,"Materials"
"HAMPTON HILL MINING NL",HHM,"Materials"
"HANNANS LTD",HNR,"Materials"
"HANSEN TECHNOLOGIES LIMITED",HSN,"Software & Services"
"HAOMA MINING NL",HAO,"Materials"
"HARANGA RESOURCES LIMITED",HAR,"Materials"
"HARRIS TECHNOLOGY GROUP LIMITED",HT8,"Retailing"
"HARVEY NORMAN HOLDINGS LIMITED",HVN,"Retailing"
"HASTINGS TECHNOLOGY METALS LTD",HAS,"Materials"
"HAVILAH RESOURCES LIMITED",HAV,"Materials"
"HAWKLEY OIL AND GAS LIMITED",HOG,"Energy"
"HAWKSTONE MINING LIMITED",HWK,"Materials"
"HAWTHORN RESOURCES LIMITED",HAW,"Materials"
"HAZER GROUP LIMITED",HZR,"Materials"
"HEALTHSCOPE LIMITED.",HSO,"Health Care Equipment & Services"
"HEARMEOUT LIMITED",HMO,"Software & Services"
"HEEMSKIRK CONSOLIDATED LIMITED",HSK,"Materials"
"HELIOS ENERGY LTD",HE8,"Energy"
"HELIX RESOURCES LIMITED",HLX,"Materials"
"HELLOWORLD TRAVEL LIMITED",HLO,"Consumer Services"
"HENDERSON GROUP PLC.",HGG,"Diversified Financials"
"HENRY MORGAN LIMITED",HML,"Not Applic"
"HERITAGE BANK LIMITED",HBS,"Not Applic"
"HERON RESOURCES LIMITED",HRR,"Materials"
"HEXAGON RESOURCES LIMITED",HXG,"Materials"
"HFA HOLDINGS LIMITED",HFA,"Diversified Financials"
"HGL LIMITED",HNG,"Capital Goods"
"HHY FUND",HHY,"Not Applic"
"HIGH PEAK ROYALTIES LIMITED",HPR,"Utilities"
"HIGHFIELD RESOURCES LIMITED",HFR,"Materials"
"HIGHLANDS PACIFIC LIMITED",HIG,"Materials"
"HILL END GOLD LIMITED",HEG,"Materials"
"HILLGROVE RESOURCES LIMITED",HGO,"Materials"
"HILLS LIMITED",HIL,"Technology Hardware & Equipment"
"HITECH GROUP AUSTRALIA LIMITED",HIT,"Commercial & Professional Services"
"HJB CORPORATION LIMITED",HJB,"Commercial & Professional Services"
"HOLISTA COLLTECH LIMITED",HCT,"Household & Personal Products"
"HOMELOANS LIMITED",HOM,"Banks"
"HORIZON GOLD LIMITED",HRN,"Materials"
"HORIZON OIL LIMITED",HZN,"Energy"
"HORSESHOE METALS LIMITED",HOR,"Materials"
"HOT CHILI LIMITED",HCH,"Materials"
"HOTCOPPER HOLDINGS LIMITED",HOT,"Software & Services"
"HOTEL PROPERTY INVESTMENTS",HPI,"Real Estate"
"HRL HOLDINGS LTD",HRL,"Commercial & Professional Services"
"HT&E LIMITED",HT1,"Media"
"HUB24 LIMITED",HUB,"Diversified Financials"
"HUDSON INVESTMENT GROUP LIMITED",HGL,"Real Estate"
"HUGHES DRILLING LIMITED",HDX,"Materials"
"HUNTER HALL GLOBAL VALUE LIMITED",HHV,"Diversified Financials"
"HUNTER HALL INTERNATIONAL LIMITED",HHL,"Diversified Financials"
"HUNTSMAN RESOURCES LIMITED",HRE,"Class Pend"
"HUON AQUACULTURE GROUP LIMITED",HUO,"Food, Beverage & Tobacco"
"HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED",HTA,"Telecommunication Services"
"HYUNDAI CAPITAL SERVICES, INC.",HCS,"Not Applic"
"I SYNERGY GROUP LIMITED",IS3,"Media"
"IAG FINANCE (NEW ZEALAND) LIMITED",IAN,"Not Applic"
"IBOSSES CORPORATION LIMITED",IB8,"Consumer Services"
"IBUYNEW GROUP LIMITED",IBN,"Consumer Services"
"ICANDY INTERACTIVE LIMITED",ICI,"Software & Services"
"ICAR ASIA LIMITED",ICQ,"Media"
"ICOLLEGE LIMITED",ICT,"Consumer Services"
"ICON ENERGY LIMITED",ICN,"Energy"
"ICSGLOBAL LIMITED",ICS,"Health Care Equipment & Services"
"IDOL 2010-1 TRUST",IDF,"Not Applic"
"IDOL 2011-1 TRUST",IDH,"Not Applic"
"IDOL 2011-2 TRUST",IDJ,"Not Applic"
"IDP EDUCATION LIMITED",IEL,"Consumer Services"
"IDT AUSTRALIA LIMITED",IDT,"Pharmaceuticals, Biotechnology & Life Sciences"
"IKEGPS GROUP LIMITED",IKE,"Technology Hardware & Equipment"
"IKWEZI MINING LIMITED",IKW,"Energy"
"ILUKA RESOURCES LIMITED",ILU,"Materials"
"IM MEDICAL LTD",IMI,"Health Care Equipment & Services"
"IMAGE RESOURCES NL",IMA,"Materials"
"IMAGION BIOSYSTEMS LIMITED",IBX,"Class Pend"
"IMDEX LIMITED",IMD,"Materials"
"IMF BENTHAM LIMITED",IMF,"Diversified Financials"
"IMMURON LIMITED",IMC,"Pharmaceuticals, Biotechnology & Life Sciences"
"IMPACT MINERALS LIMITED",IPT,"Materials"
"IMPEDIMED LIMITED",IPD,"Health Care Equipment & Services"
"IMPERIAL PACIFIC LIMITED",IPC,"Diversified Financials"
"IMPRESSION HEALTHCARE LIMITED",IHL,"Health Care Equipment & Services"
"IMUGENE LIMITED",IMU,"Pharmaceuticals, Biotechnology & Life Sciences"
"INABOX GROUP LIMITED",IAB,"Telecommunication Services"
"INCA MINERALS LIMITED",ICG,"Materials"
"INCITEC PIVOT LIMITED",IPL,"Materials"
"INCREMENTAL OIL AND GAS LIMITED",IOG,"Energy"
"INDAGO ENERGY LIMITED",INK,"Energy"
"INDEPENDENCE GROUP NL",IGO,"Materials"
"INDIA FUND LIMITED.",INF,"Class Pend"
"INDIA RESOURCES LIMITED",IRL,"Materials"
"INDIANA RESOURCES LIMITED",IDA,"Materials"
"INDO MINES LIMITED",IDO,"Materials"
"INDOCHINE MINING LIMITED",IDC,"Materials"
"INDOOR SKYDIVE AUSTRALIA GROUP LIMITED",IDZ,"Consumer Services"
"INDUS COAL LIMITED",ICZ,"Energy"
"INDUS ENERGY NL",IND,"Energy"
"INDUSTRIA REIT",IDR,"Real Estate"
"INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED",ICB,"Not Applic"
"INFIGEN ENERGY",IFN,"Utilities"
"INFOMEDIA LTD",IFM,"Software & Services"
"INFRATIL LIMITED.",IFT,"Utilities"
"INGENIA COMMUNITIES GROUP",INA,"Real Estate"
"INGHAMS GROUP LIMITED",ING,"Food, Beverage & Tobacco"
"INNATE IMMUNOTHERAPEUTICS LIMITED",IIL,"Pharmaceuticals, Biotechnology & Life Sciences"
"INSURANCE AUSTRALIA GROUP LIMITED",IAG,"Insurance"
"INTEGRAL DIAGNOSTICS LIMITED",IDX,"Health Care Equipment & Services"
"INTEGRATED MEDIA TECHNOLOGY LIMITED",ITL,"Media"
"INTEGRATED PAYMENT TECHNOLOGIES LIMITED",IP1,"Software & Services"
"INTEGRATED RESEARCH LIMITED",IRI,"Software & Services"
"INTERMIN RESOURCES LIMITED",IRC,"Materials"
"INTERNATIONAL EQUITIES CORPORATION LIMITED.",IEQ,"Real Estate"
"INTERNATIONAL FINANCE CORPORATION",IFX,"Not Applic"
"INTERNATIONAL GOLDFIELDS LIMITED...",IGS,"Materials"
"INTERPOSE HOLDINGS LIMITED",IHS,"Energy"
"INTERSTAR MILLENNIUM SERIES 2002-1G TRUST",IMG,"Not Applic"
"INTERSTAR MILLENNIUM SERIES 2003-3G TRUST",IMX,"Not Applic"
"INTERSTAR MILLENNIUM SERIES 2004-1E TRUST",IMQ,"Not Applic"
"INTERSTAR MILLENNIUM SERIES 2004-2G TRUST",IMK,"Not Applic"
"INTERSTAR MILLENNIUM SERIES 2004-5 TRUST",IMN,"Not Applic"
"INTERSTAR MILLENNIUM SERIES 2005-2L TRUST",IMO,"Not Applic"
"INTERSTAR MILLENNIUM SERIES 2006-2G TRUST",INB,"Not Applic"
"INTERSTAR MILLENNIUM SERIES 2006-3L TRUST",INN,"Not Applic"
"INTERSTAR MILLENNIUM SERIES 2006-4H TRUST",INH,"Not Applic"
"INTIGER GROUP LIMITED",IAM,"Software & Services"
"INTRA ENERGY CORPORATION LIMITED",IEC,"Energy"
"INTREPID MINES LIMITED",IAU,"Materials"
"INVENTIS LIMITED",IVT,"Commercial & Professional Services"
"INVESTA OFFICE FUND",IOF,"Real Estate"
"INVESTIGATOR RESOURCES LTD",IVR,"Materials"
"INVESTSMART GROUP LIMITED",INV,"Diversified Financials"
"INVIGOR GROUP LIMITED",IVO,"Media"
"INVION LIMITED",IVX,"Pharmaceuticals, Biotechnology & Life Sciences"
"INVITROCUE LIMITED",IVQ,"Pharmaceuticals, Biotechnology & Life Sciences"
"INVOCARE LIMITED",IVC,"Consumer Services"
"IODM LIMITED",IOD,"Materials"
"IOOF HOLDINGS LIMITED",IFL,"Diversified Financials"
"IOT GROUP LIMITED",IOT,"Consumer Durables & Apparel"
"IPB PETROLEUM LIMITED",IPB,"Energy"
"IPE LIMITED",IPE,"Diversified Financials"
"IPH LIMITED",IPH,"Commercial & Professional Services"
"IQ3CORP LIMITED",IQ3,"Diversified Financials"
"IRESS LIMITED",IRE,"Diversified Financials"
"IRON MOUNTAIN INCORPORATED",INM,"Real Estate"
"IRON ROAD LIMITED",IRD,"Materials"
"IRONBARK CAPITAL LIMITED",IBC,"Diversified Financials"
"IRONBARK ZINC LTD",IBG,"Materials"
"ISELECT LIMITED.",ISU,"Consumer Services"
"ISENTIA GROUP LIMITED",ISD,"Software & Services"
"ISENTRIC LIMITED.",ICU,"Software & Services"
"ISHARES ASIA 50 ETF",IAA,"Not Applic"
"ISHARES CHINA LARGE-CAP ETF",IZZ,"Not Applic"
"ISHARES EUROPE ETF",IEU,"Not Applic"
"ISHARES GLOBAL 100 ETF",IOO,"Not Applic"
"ISHARES MSCI BRIC ETF",IBK,"Not Applic"
"ISHARES MSCI EAFE ETF",IVE,"Not Applic"
"ISHARES MSCI EMERGING MARKETS ETF",IEM,"Not Applic"
"ISHARES MSCI HONG KONG ETF",IHK,"Not Applic"
"ISHARES MSCI JAPAN ETF",IJP,"Not Applic"
"ISHARES MSCI SINGAPORE CAPPED ETF",ISG,"Not Applic"
"ISHARES MSCI SOUTH KOREA CAPPED ETF",IKO,"Not Applic"
"ISHARES MSCI TAIWAN CAPPED ETF",ITW,"Not Applic"
"ISHARES RUSSELL 2000 ETF",IRU,"Not Applic"
"ISHARES S&P 500 ETF",IVV,"Not Applic"
"ISHARES S&P SMALL-CAP ETF",IJR,"Not Applic"
"ISHINE INTERNATIONAL RESOURCES LIMITED",ISH,"Materials"
"ISIGNTHIS LTD",ISX,"Software & Services"
"ITL LIMITED",ITD,"Health Care Equipment & Services"
"IVE GROUP LIMITED",IGL,"Media"
"JACK-IN GROUP LIMITED",JIP,"Capital Goods"
"JACKA RESOURCES LIMITED",JKA,"Energy"
"JAMES HARDIE INDUSTRIES PLC",JHX,"Materials"
"JAMESON RESOURCES LIMITED",JAL,"Materials"
"JAPARA HEALTHCARE LIMITED",JHC,"Health Care Equipment & Services"
"JATENERGY LIMITED",JAT,"Retailing"
"JAYEX HEALTHCARE LIMITED",JHL,"Health Care Equipment & Services"
"JB HI-FI LIMITED",JBH,"Retailing"
"JC INTERNATIONAL GROUP LIMITED",JCI,"Capital Goods"
"JCURVE SOLUTIONS LTD",JCS,"Software & Services"
"JERVOIS MINING LIMITED",JRV,"Materials"
"JIAJIAFU MODERN AGRICULTURE LIMITED",JJF,"Food, Beverage & Tobacco"
"JINDALEE RESOURCES LIMITED",JRL,"Materials"
"JOYCE CORPORATION LTD",JYC,"Retailing"
"JUMBO INTERACTIVE LIMITED",JIN,"Consumer Services"
"JUPITER ENERGY LIMITED",JPR,"Energy"
"JUSTKAPITAL LIMITED",JKL,"Diversified Financials"
"JV GLOBAL LIMITED",JVG,"Capital Goods"
"K & S CORPORATION LIMITED",KSC,"Transportation"
"K2 ASSET MANAGEMENT HOLDINGS LTD",KAM,"Diversified Financials"
"K2 ENERGY LIMITED.",KTE,"Utilities"
"K2FLY LIMITED",K2F,"Software & Services"
"KABOKO MINING LIMITED",KAB,"Materials"
"KABUNI LTD",KBU,"Software & Services"
"KAILI RESOURCES LIMITED",KLR,"Energy"
"KAIRIKI ENERGY LIMITED",KIK,"Energy"
"KAIROS MINERALS LIMITED",KAI,"Materials"
"KALAMAZOO RESOURCES LIMITED",KZR,"Materials"
"KALINA POWER LIMITED",KPO,"Utilities"
"KALIUM LAKES LIMITED",KLL,"Materials"
"KALNORTH GOLD MINES LIMITED",KGM,"Materials"
"KANGAROO ISLAND PLANTATION TIMBERS LTD",KPT,"Materials"
"KANGAROO RESOURCES LIMITED",KRL,"Materials"
"KAROON GAS AUSTRALIA LIMITED",KAR,"Energy"
"KASBAH RESOURCES LIMITED",KAS,"Materials"
"KATANA CAPITAL LIMITED",KAT,"Not Applic"
"KATHMANDU HOLDINGS LIMITED",KMD,"Retailing"
"KAZAKHSTAN POTASH CORPORATION LIMITED",KPC,"Materials"
"KBL MINING LIMITED",KBL,"Materials"
"KEY PETROLEUM LIMITED",KEY,"Energy"
"KEYBRIDGE CAPITAL LIMITED",KBC,"Diversified Financials"
"KFW",KFW,"Not Applic"
"KGL RESOURCES LIMITED",KGL,"Materials"
"KIBARAN RESOURCES LIMITED",KNL,"Materials"
"KIDMAN RESOURCES LIMITED",KDR,"Materials"
"KIN MINING NL",KIN,"Materials"
"KINA PETROLEUM LIMITED",KPL,"Energy"
"KINA SECURITIES LIMITED",KSL,"Diversified Financials"
"KINETIKO ENERGY LTD",KKO,"Energy"
"KING ISLAND SCHEELITE LIMITED",KIS,"Materials"
"KING RIVER COPPER LIMITED",KRC,"Materials"
"KINGFISHER TRUST 2016-1",KIG,"Not Applic"
"KINGFORM HEALTH HOMETEXTILE GROUP LIMITED",KFG,"Consumer Durables & Apparel"
"KINGSGATE CONSOLIDATED LIMITED.",KCN,"Materials"
"KINGSLAND GLOBAL LTD",KLO,"Real Estate"
"KINGSROSE MINING LIMITED",KRM,"Materials"
"KINGSTON RESOURCES LIMITED",KSN,"Materials"
"KIP MCGRATH EDUCATION CENTRES LIMITED",KME,"Consumer Services"
"KNEOMEDIA LIMITED",KNM,"Software & Services"
"KNOSYS LIMITED",KNO,"Software & Services"
"KOGAN.COM LTD",KGN,"Retailing"
"KOGI IRON LIMITED",KFE,"Materials"
"KOLLAKORN CORPORATION LIMITED",KKL,"Technology Hardware & Equipment"
"KONEKT LIMITED",KKT,"Health Care Equipment & Services"
"KOON HOLDINGS LIMITED",KNH,"Capital Goods"
"KORAB RESOURCES LIMITED",KOR,"Materials"
"KORE POTASH LIMITED",K2P,"Materials"
"KOREA SOUTH-EAST POWER CO LTD",KOP,"Not Applic"
"KORVEST LTD",KOV,"Capital Goods"
"KRAKATOA RESOURCES LIMITED",KTA,"Materials"
"KRESTA HOLDINGS LIMITED",KRS,"Consumer Durables & Apparel"
"KULA GOLD LIMITED",KGD,"Materials"
"KYCKR LIMITED",KYK,"Software & Services"
"LACHLAN STAR LIMITED",LSA,"Materials"
"LACONIA RESOURCES LIMITED",LCR,"Materials"
"LAKE RESOURCES N.L.",LKE,"Materials"
"LAKES OIL NL",LKO,"Energy"
"LAND & HOMES GROUP LIMITED",LHM,"Real Estate"
"LANDMARK WHITE LIMITED",LMW,"Real Estate"
"LANEWAY RESOURCES LTD",LNY,"Materials"
"LANKA GRAPHITE LIMITED",LGR,"Not Applic"
"LANTERN HOTEL GROUP",LTN,"Real Estate"
"LARAMIDE RESOURCES LTD",LAM,"Energy"
"LASERBOND LIMITED",LBL,"Capital Goods"
"LATAM AUTOS LIMITED",LAA,"Software & Services"
"LATIN RESOURCES LIMITED",LRS,"Materials"
"LATITUDE CONSOLIDATED LIMITED",LCD,"Materials"
"LATROBE MAGNESIUM LIMITED",LMG,"Materials"
"LAWSON GOLD LIMITED",LSN,"Materials"
"LBT INNOVATIONS LIMITED",LBT,"Health Care Equipment & Services"
"LEAF RESOURCES LTD",LER,"Materials"
"LEFROY EXPLORATION LIMITED",LEX,"Materials"
"LEGACY IRON ORE LIMITED",LCY,"Materials"
"LEGEND CORPORATION LIMITED",LGD,"Capital Goods"
"LEGEND MINING LIMITED",LEG,"Materials"
"LEIGH CREEK ENERGY LIMITED",LCK,"Energy"
"LENDLEASE GROUP",LLC,"Real Estate"
"LEPIDICO LTD",LPD,"Materials"
"LEYSHON RESOURCES LIMITED",LRL,"Materials"
"LIFE CORPORATION LTD",LFC,"Consumer Services"
"LIFEHEALTHCARE GROUP LIMITED",LHC,"Health Care Equipment & Services"
"LIFESPOT HEALTH LTD",LSH,"Health Care Equipment & Services"
"LIFESTYLE COMMUNITIES LIMITED",LIC,"Real Estate"
"LINCOLN MINERALS LIMITED",LML,"Materials"
"LINDIAN RESOURCES LIMITED",LIN,"Materials"
"LINDSAY AUSTRALIA LIMITED",LAU,"Transportation"
"LINIUS TECHNOLOGIES LIMITED",LNU,"Materials"
"LINK ADMINISTRATION HOLDINGS LIMITED",LNK,"Software & Services"
"LION ENERGY LIMITED",LIO,"Energy"
"LION ONE METALS LIMITED",LLO,"Materials"
"LION SELECTION GROUP LIMITED.",LSX,"Diversified Financials"
"LIONHUB GROUP LIMITED",LHB,"Real Estate"
"LIONTOWN RESOURCES LIMITED",LTR,"Materials"
"LIQUEFIED NATURAL GAS LIMITED",LNG,"Energy"
"LITHIUM AUSTRALIA NL",LIT,"Materials"
"LITHIUM CONSOLIDATED MINERAL EXPLORATION LIMITED",LI3,"Materials"
"LITHIUM POWER INTERNATIONAL LIMITED",LPI,"Materials"
"LITIGATION CAPITAL MANAGEMENT LIMITED",LCA,"Diversified Financials"
"LIVEHIRE LIMITED",LVH,"Software & Services"
"LIVETILES LIMITED",LVT,"Software & Services"
"LIVING CELL TECHNOLOGIES LIMITED",LCT,"Pharmaceuticals, Biotechnology & Life Sciences"
"LIVING CITIES DEVELOPMENT GROUP LIMITED",LCG,"Materials"
"LOCALITY PLANNING ENERGY HOLDINGS LIMITED",LPE,"Utilities"
"LODESTAR MINERALS LIMITED",LSR,"Materials"
"LOGICAMMS LIMITED",LCM,"Capital Goods"
"LONDON CITY EQUITIES LIMITED",LCE,"Diversified Financials"
"LONGFORD RESOURCES LIMITED",LFR,"Materials"
"LONGREACH OIL LIMITED",LGO,"Energy"
"LOVISA HOLDINGS LIMITED",LOV,"Retailing"
"LUCAPA DIAMOND COMPANY LIMITED",LOM,"Materials"
"LUIRI GOLD LIMITED",LGM,"Materials"
"LWP TECHNOLOGIES LIMITED",LWP,"Energy"
"LYCOPODIUM LIMITED",LYL,"Capital Goods"
"LYNAS CORPORATION LIMITED",LYC,"Materials"
"MACA LIMITED",MLD,"Materials"
"MACARTHUR AUSTRALIA LIMITED",MMM,"Class Pend"
"MACH7 TECHNOLOGIES LIMITED",M7T,"Health Care Equipment & Services"
"MACMAHON HOLDINGS LIMITED",MAH,"Capital Goods"
"MACPHERSONS RESOURCES LIMITED",MRP,"Materials"
"MACQUARIE ATLAS ROADS GROUP",MQA,"Transportation"
"MACQUARIE BANK LIMITED",MBL,"Not Applic"
"MACQUARIE GROUP LIMITED",MQG,"Diversified Financials"
"MACQUARIE MEDIA LIMITED",MRN,"Media"
"MACQUARIE TELECOM GROUP LIMITED",MAQ,"Telecommunication Services"
"MAGELLAN FINANCIAL GROUP LIMITED",MFG,"Diversified Financials"
"MAGMATIC RESOURCES LIMITED",MAG,"Materials"
"MAGNETIC RESOURCES NL",MAU,"Materials"
"MAGNETITE MINES LIMITED.",MGT,"Materials"
"MAGNIS RESOURCES LIMITED.",MNS,"Materials"
"MAGNUM GAS & POWER LIMITED",MPE,"Energy"
"MAGNUM MINING AND EXPLORATION LIMITED",MGU,"Materials"
"MAGONTEC LIMITED",MGL,"Materials"
"MAINSTREAMBPO LIMITED",MAI,"Diversified Financials"
"MAJESTIC HORIZON HOLDINGS LTD",MHH,"Class Pend"
"MALACHITE RESOURCES LIMITED",MAR,"Materials"
"MANAGED ACCOUNTS HOLDINGS LIMITED",MGP,"Diversified Financials"
"MANALTO LIMITED",MTL,"Software & Services"
"MANAS RESOURCES LIMITED",MSR,"Materials"
"MANDALONG RESOURCES LIMITED",MDD,"Materials"
"MANHATTAN CORPORATION LIMITED",MHC,"Energy"
"MANTLE MINING CORPORATION LIMITED",MNM,"Materials"
"MANTRA GROUP LIMITED",MTR,"Consumer Services"
"MANUKA RESOURCES LTD",MKR,"Class Pend"
"MARENICA ENERGY LTD",MEY,"Energy"
"MARETERRAM LIMITED",MTM,"Capital Goods"
"MARINDI METALS LIMITED",MZN,"Materials"
"MARINER CORPORATION LIMITED",MCX,"Diversified Financials"
"MARMOTA LIMITED",MEU,"Energy"
"MARQUEE RESOURCES LIMITED",MQR,"Materials"
"MARTIN AIRCRAFT COMPANY LIMITED",MJP,"Capital Goods"
"MASTERMYNE GROUP LIMITED",MYE,"Materials"
"MATADOR MINING LIMITED",MZZ,"Materials"
"MATRIX COMPOSITES & ENGINEERING LIMITED",MCE,"Energy"
"MATSA RESOURCES LIMITED",MAT,"Materials"
"MAXIMUS RESOURCES LIMITED",MXR,"Materials"
"MAXITRANS INDUSTRIES LIMITED",MXI,"Capital Goods"
"MAXSEC GROUP LIMITED",MSP,"Technology Hardware & Equipment"
"MAYFIELD CHILDCARE LIMITED",MFD,"Consumer Services"
"MAYNE PHARMA GROUP LIMITED",MYX,"Pharmaceuticals, Biotechnology & Life Sciences"
"MCALEESE LIMITED",MCS,"Transportation"
"MCGRATH LIMITED",MEA,"Real Estate"
"MCMILLAN SHAKESPEARE LIMITED",MMS,"Commercial & Professional Services"
"MCPHERSON'S LIMITED",MCP,"Consumer Durables & Apparel"
"MCS SERVICES LIMITED",MSG,"Commercial & Professional Services"
"MEC RESOURCES LIMITED",MMR,"Energy"
"MEDADVISOR LIMITED",MDR,"Health Care Equipment & Services"
"MEDALLION TRUST SERIES 2013-2",MBJ,"Not Applic"
"MEDALLION TRUST SERIES 2014-1",MDZ,"Not Applic"
"MEDALLION TRUST SERIES 2014-1P",MPZ,"Not Applic"
"MEDALLION TRUST SERIES 2014-2",MZB,"Not Applic"
"MEDALLION TRUST SERIES 2015-1",MZA,"Not Applic"
"MEDALLION TRUST SERIES 2015-2",MZC,"Not Applic"
"MEDALLION TRUST SERIES 2016-1",MZF,"Not Applic"
"MEDALLION TRUST SERIES 2016-2",MZT,"Not Applic"
"MEDIBANK PRIVATE LIMITED",MPL,"Insurance"
"MEDIBIO LIMITED",MEB,"Pharmaceuticals, Biotechnology & Life Sciences"
"MEDICAL AUSTRALIA LIMITED",MLA,"Health Care Equipment & Services"
"MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED",MVP,"Pharmaceuticals, Biotechnology & Life Sciences"
"MEDIGARD LIMITED",MGZ,"Health Care Equipment & Services"
"MEDLAB CLINICAL LIMITED",MDC,"Pharmaceuticals, Biotechnology & Life Sciences"
"MEDUSA MINING LIMITED",MML,"Materials"
"MEGAPORT LIMITED",MP1,"Software & Services"
"MEJORITY CAPITAL LIMITED",MJC,"Diversified Financials"
"MELBANA ENERGY LIMITED",MAY,"Energy"
"MELBOURNE IT LIMITED",MLB,"Software & Services"
"MEMPHASYS LIMITED.",MEM,"Pharmaceuticals, Biotechnology & Life Sciences"
"MERCANTILE INVESTMENT COMPANY LTD",MVT,"Diversified Financials"
"MERCHANT HOUSE INTERNATIONAL LIMITED",MHI,"Consumer Durables & Apparel"
"MERCURY NZ LIMITED",MCY,"Utilities"
"MERIDIAN ENERGY LIMITED",MEZ,"Utilities"
"MERLIN DIAMONDS LIMITED",MED,"Materials"
"MESA MINERALS LIMITED",MAS,"Materials"
"MESOBLAST LIMITED",MSB,"Pharmaceuticals, Biotechnology & Life Sciences"
"METAL BANK LIMITED",MBK,"Materials"
"METALICITY LIMITED",MCT,"Materials"
"METALLICA MINERALS LIMITED",MLM,"Materials"
"METALLUM LIMITED",MNE,"Materials"
"METALS AUSTRALIA LTD",MLS,"Materials"
"METALS X LIMITED",MLX,"Materials"
"METALSTECH LIMITED",MTC,"Materials"
"METCASH LIMITED",MTS,"Food & Staples Retailing"
"METEORIC RESOURCES NL",MEI,"Materials"
"METGASCO LIMITED",MEL,"Energy"
"METLIFECARE LIMITED",MEQ,"Health Care Equipment & Services"
"METMINCO LIMITED",MNC,"Materials"
"METRO MINING LIMITED",MMI,"Energy"
"METRO PERFORMANCE GLASS LIMITED",MPP,"Materials"
"MFF CAPITAL INVESTMENTS LIMITED",MFF,"Diversified Financials"
"MG UNIT TRUST",MGC,"Food, Beverage & Tobacco"
"MGC PHARMACEUTICALS LTD",MXC,"Materials"
"MGM WIRELESS LIMITED",MWR,"Software & Services"
"MHM METALS LIMITED",MHM,"Materials"
"MICHAEL HILL INTERNATIONAL LIMITED",MHJ,"Consumer Durables & Apparel"
"MICRO-X LIMITED",MX1,"Health Care Equipment & Services"
"MIDDLE ISLAND RESOURCES LIMITED",MDI,"Materials"
"MIDWAY LIMITED",MWY,"Materials"
"MIGME LIMITED",MIG,"Software & Services"
"MILLENNIUM MINERALS LIMITED",MOY,"Materials"
"MILLENNIUM SERVICES GROUP LIMITED",MIL,"Commercial & Professional Services"
"MILLINIUM'S ALTERNATIVES FUND.",MAX,"Not Applic"
"MILTON CORPORATION LIMITED",MLT,"Diversified Financials"
"MINBOS RESOURCES LIMITED",MNB,"Materials"
"MINCOR RESOURCES NL",MCR,"Materials"
"MINDAX LIMITED",MDX,"Materials"
"MINERA GOLD LIMITED",MIZ,"Materials"
"MINERAL COMMODITIES LTD",MRC,"Materials"
"MINERAL DEPOSITS LIMITED",MDL,"Materials"
"MINERAL RESOURCES LIMITED",MIN,"Materials"
"MINOTAUR EXPLORATION LTD",MEP,"Materials"
"MINREX RESOURCES LIMITED",MRR,"Materials"
"MINT PAYMENTS LIMITED",MNW,"Software & Services"
"MINTAILS LIMITED",MLI,"Materials"
"MIRRABOOKA INVESTMENTS LIMITED",MIR,"Diversified Financials"
"MIRVAC GROUP",MGR,"Real Estate"
"MISSION NEWENERGY LIMITED",MBT,"Energy"
"MITCHELL SERVICES LIMITED",MSV,"Capital Goods"
"MITHRIL RESOURCES LIMITED",MTH,"Materials"
"MITULA GROUP LIMITED",MUA,"Software & Services"
"MMA OFFSHORE LIMITED",MRM,"Transportation"
"MMG LIMITED",MMG,"Materials"
"MMJ PHYTOTECH LIMITED",MMJ,"Pharmaceuticals, Biotechnology & Life Sciences"
"MNC MEDIA INVESTMENT LTD",MIH,"Telecommunication Services"
"MNF GROUP LIMITED",MNF,"Telecommunication Services"
"MOBILARM LIMITED",MBO,"Technology Hardware & Equipment"
"MOBILE EMBRACE LIMITED",MBE,"Software & Services"
"MOBILICOM LIMITED",MOB,"Technology Hardware & Equipment"
"MOD RESOURCES LIMITED",MOD,"Materials"
"MOELIS AUSTRALIA LIMITED",MOE,"Diversified Financials"
"MOKO SOCIAL MEDIA LIMITED",MKB,"Software & Services"
"MOLOPO ENERGY LIMITED",MPO,"Energy"
"MONADELPHOUS GROUP LIMITED",MND,"Capital Goods"
"MONASH ABSOLUTE INVESTMENT COMPANY LIMITED",MA1,"Not Applic"
"MONASH IVF GROUP LIMITED",MVF,"Pharmaceuticals, Biotechnology & Life Sciences"
"MONAX MINING LIMITED",MOX,"Materials"
"MONEY3 CORPORATION LIMITED",MNY,"Diversified Financials"
"MONTEZUMA MINING COMPANY LTD",MZM,"Materials"
"MORETON RESOURCES LTD",MRV,"Energy"
"MORPHIC ETHICAL EQUITIES FUND LIMITED",MEC,"Diversified Financials"
"MORTGAGE CHOICE LIMITED",MOC,"Banks"
"MOTOPIA LIMITED",MOT,"Software & Services"
"MOTORCYCLE HOLDINGS LIMITED",MTO,"Retailing"
"MOUNT BURGESS MINING NL",MTB,"Materials"
"MOUNT GIBSON IRON LIMITED",MGX,"Materials"
